num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;    100;  0.6760;   99.6;  100.0;  1.83e-01;
         1;  0.0000;   3;     44;  0.3380;    0.0;    0.0;       NaN;
         1;  0.0500;   1;    100;  0.3530;   99.6;  100.0;  1.85e-01;
         1;  0.0500;   3;     15;  0.1480;    0.0;    0.0;       NaN;
         1;  0.1000;   1;    100;  0.3270;   99.6;  100.0;  1.87e-01;
         1;  0.1000;   3;     18;  0.1350;    0.0;    0.0;       NaN;
         2;  0.0000;   1;    100;  0.3010;   88.8;   92.0;  2.08e-01;
         2;  0.0000;   3;     69;  0.3630;    0.0;    0.0;       NaN;
         2;  0.0500;   1;    100;  0.2800;   88.8;   92.0;  2.09e-01;
         2;  0.0500;   3;     19;  0.1210;    0.0;    0.0;       NaN;
         2;  0.1000;   1;    100;  0.2870;   88.8;   92.0;  2.10e-01;
         2;  0.1000;   3;     18;  0.1270;    0.0;    0.0;       NaN;
         3;  0.0000;   1;    100;  0.2780;   75.6;   92.0;  2.29e-01;
         3;  0.0000;   3;     28;  0.1600;   98.0;  100.0;  1.95e-02;
         3;  0.0500;   1;    100;  0.2840;   75.6;   92.0;  2.30e-01;
         3;  0.0500;   3;     34;  0.1920;    0.0;    0.0;       NaN;
         3;  0.1000;   1;    100;  0.2680;   75.6;   92.0;  2.30e-01;
         3;  0.1000;   3;     16;  0.1210;    0.0;    0.0;       NaN;
         4;  0.0000;   1;    100;  0.2850;   98.8;   96.0;  1.75e-01;
         4;  0.0000;   3;     51;  0.2310;    0.0;    0.0;       NaN;
         4;  0.0500;   1;    100;  0.2870;   98.8;   96.0;  1.77e-01;
         4;  0.0500;   3;     18;  0.1160;    0.0;    0.0;       NaN;
         4;  0.1000;   1;    100;  0.3290;   98.8;   96.0;  1.78e-01;
         4;  0.1000;   3;     18;  0.1000;    0.0;    0.0;       NaN;
         5;  0.0000;   1;    100;  0.2940;   89.2;   80.0;  2.00e-01;
         5;  0.0000;   3;     26;  0.1430;    0.0;    0.0;       NaN;
         5;  0.0500;   1;    100;  0.3160;   89.2;   80.0;  2.01e-01;
         5;  0.0500;   3;     17;  0.1110;    0.0;    0.0;       NaN;
         5;  0.1000;   1;    100;  0.2940;   88.8;   80.0;  2.02e-01;
         5;  0.1000;   3;     18;  0.1210;    0.0;    0.0;       NaN;
         6;  0.0000;   1;    100;  0.2670;   87.2;   72.0;  2.10e-01;
         6;  0.0000;   3;     25;  0.1590;   99.6;  100.0;  1.14e-02;
         6;  0.0500;   1;    100;  0.3010;   87.2;   72.0;  2.11e-01;
         6;  0.0500;   3;     34;  0.1740;    0.0;    0.0;       NaN;
         6;  0.1000;   1;    100;  0.2970;   86.8;   72.0;  2.12e-01;
         6;  0.1000;   3;     15;  0.1140;    0.0;    0.0;       NaN;
         7;  0.0000;   1;    100;  0.2870;   99.6;  100.0;  1.89e-01;
         7;  0.0000;   3;     73;  0.3250;    0.0;    0.0;       NaN;
         7;  0.0500;   1;    100;  0.2610;   99.6;  100.0;  1.91e-01;
         7;  0.0500;   3;     18;  0.1350;    0.0;    0.0;       NaN;
         7;  0.1000;   1;    100;  0.2690;   99.6;  100.0;  1.92e-01;
         7;  0.1000;   3;     18;  0.1300;    0.0;    0.0;       NaN;
         8;  0.0000;   1;    100;  0.3670;   76.4;   88.0;  2.33e-01;
         8;  0.0000;   3;     25;  0.1500;   94.8;   92.0;  3.65e-02;
         8;  0.0500;   1;    100;  0.3030;   76.4;   88.0;  2.34e-01;
         8;  0.0500;   3;     15;  0.1110;    0.0;    0.0;       NaN;
         8;  0.1000;   1;    100;  0.3410;   76.4;   88.0;  2.34e-01;
         8;  0.1000;   3;     17;  0.2170;    0.0;    0.0;       NaN;
         9;  0.0000;   1;    100;  0.4440;   64.0;   84.0;  2.26e-01;
         9;  0.0000;   3;     23;  0.1440;   99.2;   96.0;  1.49e-02;
         9;  0.0500;   1;    100;  0.2830;   64.0;   84.0;  2.26e-01;
         9;  0.0500;   3;     26;  0.1460;    0.0;    0.0;       NaN;
         9;  0.1000;   1;    100;  0.3650;   64.0;   84.0;  2.27e-01;
         9;  0.1000;   3;     25;  0.1680;    0.0;    0.0;       NaN;
         0;  0.0000;   1;    100;  0.3170;   78.8;   92.0;  2.24e-01;
         0;  0.0000;   3;     11;  0.0950;  100.0;  100.0;  9.00e-03;
         0;  0.0500;   1;    100;  0.3010;   78.8;   92.0;  2.24e-01;
         0;  0.0500;   3;     31;  0.1750;    0.0;    0.0;       NaN;
         0;  0.1000;   1;    100;  0.2860;   78.8;   92.0;  2.25e-01;
         0;  0.1000;   3;     13;  0.1080;    0.0;    0.0;       NaN;
